"text","label"
"SHOCKING: Government hiding cancer cure for decades. Big Pharma paying billions to suppress truth.","FAKE"
"India GDP grew by 6.4 percent in the third quarter according to Ministry of Statistics.","REAL"
"Scientists confirm 5G towers cause cancer. Share before this gets deleted!","FAKE"
"The Reserve Bank of India held interest rates steady at its latest monetary policy meeting.","REAL"
"BREAKING: Bill Gates microchips hidden in COVID vaccines exposed by whistleblower.","FAKE"
"Prime Minister Modi met with French President Macron in Paris to discuss bilateral trade.","REAL"
"NASA confirms moon landing was staged in Hollywood studio documents leaked.","FAKE"
"India launched its latest communication satellite successfully from Sriharikota.","REAL"
"Drinking hot water with lemon cures cancer in 3 days. Big Pharma doesnt want you to know.","FAKE"
"The Supreme Court of India issued a ruling on electoral bonds requiring full disclosure.","REAL"
"URGENT: Forward this message or you will face bad luck for 7 years.","FAKE"
"Heavy rainfall affected several districts in Kerala prompting flood warnings.","REAL"
"Government plans to shut down internet permanently next month. Act now!","FAKE"
"India and the United States signed a new technology partnership agreement.","REAL"
"Scientists discover that onions cure diabetes completely. Doctors hiding this secret.","FAKE"
"The Indian cricket team won the test series against Australia by three matches to one.","REAL"
"EXPOSED: Politicians drinking adrenochrome extracted from children.","FAKE"
"Parliament passed the new data protection bill after extensive debate in both houses.","REAL"
"Eating garlic daily kills all cancer cells. Hospitals hiding this truth.","FAKE"
"India recorded 7.2 percent economic growth in the latest quarter.","REAL"
"WhatsApp will start charging users next month. Forward to keep account free.","FAKE"
"The government announced a new scheme providing free health insurance to farmers.","REAL"
"5G towers are activating nanoparticles in vaccinated people remotely.","FAKE"
"Severe heat wave conditions expected across northern India with temperatures reaching 45 degrees.","REAL"
"ALERT: New law will ban all social media in India by December.","FAKE"
"The Mumbai local train network resumed full services after maintenance work.","REAL"
"Scientist who discovered COVID cure found dead in suspicious circumstances.","FAKE"
"India won two gold medals at the Asian Games in athletics and shooting.","REAL"
"Government putting fluoride in water to control population minds.","FAKE"
"Scientists at IIT Delhi developed new water purification technology.","REAL"
"BREAKING: Actor found alive after staged death hidden by government.","FAKE"
"The Indian Air Force conducted joint exercises with Japan this week.","REAL"
"New study proves mobile phones cause brain tumors in 100 percent of users.","FAKE"
"New Delhi recorded its worst air quality index of the year as winter smog begins.","REAL"
"Secret underground cities being built for elite while public faces disaster.","FAKE"
"The Election Commission announced dates for assembly elections in five states.","REAL"
"Eating turmeric daily completely reverses diabetes says hidden study.","FAKE"
"Monsoon arrived in Kerala two days ahead of schedule this year.","REAL"
"EXPOSED: All elections rigged by secret global organization.","FAKE"
"The Sensex closed 500 points higher on Friday driven by banking stocks.","REAL"
"Scientists confirm earth is actually flat. NASA covering up truth for decades.","FAKE"
"India successfully tested its new ballistic missile defense system.","REAL"
"New WhatsApp voice message will hack your phone if you listen to it.","FAKE"
"Scientists in Pune developed a new vaccine for dengue with 80 percent efficacy.","REAL"
"BREAKING: Famous celebrity secretly working for government spy agency.","FAKE"
"The annual budget allocated 15000 crore rupees for national education mission.","REAL"
"Doctors paid to hide that common spice cures all diseases.","FAKE"
"India signed a free trade agreement with four Gulf countries.","REAL"
"ALERT: Your bank account will be frozen unless you forward this message.","FAKE"
"The Supreme Court ordered all states to submit reports on groundwater depletion.","REAL"
"Government adding chemicals to rain to control weather and population.","FAKE"
"A magnitude 4.2 earthquake struck near Manipur with no casualties reported.","REAL"
"SHOCKING: Major earthquake predicted for India next week by secret source.","FAKE"
"The Federal Reserve raised interest rates by 25 basis points on Wednesday.","REAL"
"Eating raw onions for 7 days completely cures HIV says suppressed study.","FAKE"
"Scientists discovered a new species of deep sea fish in the Pacific Ocean.","REAL"
"EXPOSED: Moon is actually a hollow space station controlled by aliens.","FAKE"
"The United Nations Security Council met in emergency session on Middle East.","REAL"
"New study shows that vaccines contain live cancer cells deliberately.","FAKE"
"Apple reported quarterly earnings of 90 billion dollars beating expectations.","REAL"
"URGENT: Send this to 10 people or face terrible consequences tomorrow.","FAKE"
"The World Health Organization declared end to public health emergency for mpox.","REAL"
"Scientists hired by Big Pharma to hide natural cure for all cancers.","FAKE"
"NASA confirmed the successful landing of its Mars rover.","REAL"
"BREAKING: Government secretly replacing politicians with AI robots.","FAKE"
"Google announced major updates to its AI products at developer conference.","REAL"
"Drinking cow urine daily cures all diseases including cancer and AIDS.","FAKE"
"The European Union reached a landmark agreement on migration policy.","REAL"
"ALERT: WhatsApp hack targets Indian users through blue tick messages.","FAKE"
"Scientists published study showing regular exercise reduces Alzheimers risk by 40 percent.","REAL"
"EXPOSED: Climate change is fake news invented to tax poor people more.","FAKE"
"The World Bank released its annual report on global poverty progress.","REAL"
"Secret documents prove COVID was created in laboratory to control world.","FAKE"
"China launched a new space station module expanding its orbital laboratory.","REAL"
"New law will allow government to read all private messages from tomorrow.","FAKE"
"The IMF revised its global growth forecast upward to 3.2 percent.","REAL"
"SHOCKING: Famous doctor reveals hospitals kill patients for organ harvesting.","FAKE"
"Researchers at Oxford published study on long-term effects of air pollution.","REAL"
"Eating 10 almonds daily completely reverses heart disease in 30 days.","FAKE"
"The G20 summit concluded with new climate finance commitments worth 100 billion dollars.","REAL"
"BREAKING: Celebrity spotted with new partner. Hollywood insiders shocked.","FAKE"
"Brazil recorded its hottest temperature in 70 years during extreme heat wave.","REAL"
"ALERT: New virus more deadly than COVID spreading. Government hiding death toll.","FAKE"
"Scientists confirmed James Webb Space Telescope captured most distant galaxy.","REAL"
"Quantum healing crystals proven to cure all diseases. Doctors dont want you to know.","FAKE"
"Japan raised its interest rates for the first time in 17 years.","REAL"
"SHOCKING: Famous billionaire funding secret world government from underground bunker.","FAKE"
"The Indian Premier League auction set new record exceeding 1000 crore rupees.","REAL"
"New study proves coffee causes cancer. Companies paying scientists to hide results.","FAKE"
"Kerala government launched program providing free laptops to class 10 students.","REAL"
"URGENT: Indian rupee will collapse completely next week. Convert money to gold.","FAKE"
"Scientists at AIIMS developed treatment protocol reducing dengue recovery time.","REAL"
"EXPOSED: Chemtrails from planes contain mind control chemicals sprayed on population.","FAKE"
"The government of Maharashtra announced new policy to reduce plastic waste.","REAL"
"Eating only fruits for 30 days completely reverses all chronic diseases.","FAKE"
"India qualified for the FIFA World Cup after winning Asian qualifying round.","REAL"
"BREAKING: Major bank about to collapse. Withdraw all your money immediately.","FAKE"
"The new metro line connecting Noida to Greater Noida was inaugurated Monday.","REAL"
"Scientists confirm that prayers and positive thinking cure cancer better than medicine.","FAKE"
"Researchers found diet rich in vegetables reduces heart disease risk by 35 percent.","REAL"
"ALERT: New Chinese app stealing all data from Indian phones. Delete immediately.","FAKE"
"The Bombay High Court issued ruling protecting rights of gig workers.","REAL"
"Government planning to implant tracking chips in citizens under health scheme.","FAKE"
"India exported record 25 million tonnes of rice making it worlds largest exporter.","REAL"
"SHOCKING: Famous actor is actually an AI robot created by technology company.","FAKE"
"The government announced new pension scheme for unorganized sector workers.","REAL"
"New research proves sunlight on skin cures diabetes completely within 30 days.","FAKE"
"The Tamil Nadu government approved 5000 crore project for industrial corridors.","REAL"
"EXPOSED: Major food companies adding addictive chemicals to create dependency.","FAKE"
"India and Japan agreed to cooperate on semiconductor manufacturing.","REAL"
"BREAKING: Alien spacecraft spotted over major Indian city. Government covering it up.","FAKE"
"The National Green Tribunal ordered closure of 200 polluting industries near Yamuna.","REAL"
"Drinking alkaline water cures cancer completely. Oncologists hiding this.","FAKE"
